player,team,year,salary
Amar'e Stoudemire,NYK,2015,23410988
Carmelo Anthony,NYK,2015,22458000
Andrea Bargnani,NYK,2015,11500000
José Calderón,NYK,2015,7097191
Samuel Dalembert,NYK,2015,3867282
Carmelo Anthony,NYK,2014,22407474
Amar'e Stoudemire,NYK,2014,21679893
Tyson Chandler,NYK,2014,14100538
Andrea Bargnani,NYK,2014,11862500
J.R. Smith,NYK,2014,5565000
Amar'e Stoudemire,NYK,2013,19948799
Carmelo Anthony,NYK,2013,19450000
Tyson Chandler,NYK,2013,13604188
Marcus Camby,NYK,2013,4590338
Steve Novak,NYK,2013,4054055
Carmelo Anthony,NYK,2012,18518574
Amar'e Stoudemire,NYK,2012,18217705
Tyson Chandler,NYK,2012,13107837
J.R. Smith,NYK,2012,2382353
Renaldo Balkman,NYK,2012,1675000
Carmelo Anthony,NYK,2011,17149243
Amar'e Stoudemire,NYK,2011,16486611
Chauncey Billups,NYK,2011,13150000
Ronny Turiaf,NYK,2011,4000000
Renaldo Balkman,NYK,2011,1675000
Tracy McGrady,NYK,2010,23239562
Eddy Curry,NYK,2010,10500423
Al Harrington,NYK,2010,10026875
David Lee,NYK,2010,7000000
Chris Duhon,NYK,2010,6031800
Larry Hughes,NYK,2009,12827676
Eddy Curry,NYK,2009,9723983
Al Harrington,NYK,2009,9226250
Quentin Richardson,NYK,2009,8685500
Chris Wilcox,NYK,2009,6750000
Stephon Marbury,NYK,2008,19012500
Zach Randolph,NYK,2008,13333333
Eddy Curry,NYK,2008,8947543
Quentin Richardson,NYK,2008,8105500
Jamal Crawford,NYK,2008,7920000
Stephon Marbury,NYK,2007,17184375
Steve Francis,NYK,2007,15070000
Eddy Curry,NYK,2007,8171103
Quentin Richardson,NYK,2007,7525500
Malik Rose,NYK,2007,7525397
Stephon Marbury,NYK,2006,16453125
Anfernee Hardaway,NYK,2006,15750000
Antonio Davis,NYK,2006,13925000
Maurice Taylor,NYK,2006,9100000
Eddy Curry,NYK,2006,7390000
Allan Houston,NYK,2005,17531250
Stephon Marbury,NYK,2005,14625000
Anfernee Hardaway,NYK,2005,14625000
Tim Thomas,NYK,2005,12900000
Shandon Anderson,NYK,2005,7300000
Allan Houston,NYK,2004,15937500
Antonio McDyess,NYK,2004,13500000
Keith Van Horn,NYK,2004,13279750
Shandon Anderson,NYK,2004,6700000
Charlie Ward,NYK,2004,6030000
Allan Houston,NYK,2003,14343750
Latrell Sprewell,NYK,2003,12375000
Shandon Anderson,NYK,2003,6100000
Charlie Ward,NYK,2003,5570000
Howard Eisley,NYK,2003,5312500
Allan Houston,NYK,2002,12750000
Latrell Sprewell,NYK,2002,11250000
Marcus Camby,NYK,2002,7300000
Shandon Anderson,NYK,2002,5500000
Charlie Ward,NYK,2002,5110000
Larry Johnson,NYK,2001,11000000
Latrell Sprewell,NYK,2001,10125000
Allan Houston,NYK,2001,9000000
Glen Rice,NYK,2001,7578900
Marcus Camby,NYK,2001,5750000
Patrick Ewing,NYK,2000,15000000
Larry Johnson,NYK,2000,11910714
Latrell Sprewell,NYK,2000,9000000
Allan Houston,NYK,2000,8000000
Chris Dudley,NYK,2000,7100000
Al Horford,OKC,2021,27500000
Darius Miller,OKC,2021,7000000
Justin Jackson,OKC,2021,5029650
Shai Gilgeous-Alexander,OKC,2021,4141320
Gabriel Deck,OKC,2021,3870370
Chris Paul,OKC,2020,38506482
Steven Adams,OKC,2020,25842697
Danilo Gallinari,OKC,2020,22615559
Dennis Schröder,OKC,2020,15500000
Andre Roberson,OKC,2020,10740741
Russell Westbrook,OKC,2019,35654150
Paul George,OKC,2019,30560700
Steven Adams,OKC,2019,24157304
Dennis Schröder,OKC,2019,15500000
Jerami Grant,OKC,2019,8653847
Russell Westbrook,OKC,2018,28530608
Carmelo Anthony,OKC,2018,26243760
Steven Adams,OKC,2018,22471910
Paul George,OKC,2018,19508958
Andre Roberson,OKC,2018,9259259
Russell Westbrook,OKC,2017,26540100
Enes Freedom,OKC,2017,17145838
Taj Gibson,OKC,2017,8950000
Victor Oladipo,OKC,2017,6552960
Álex Abrines,OKC,2017,5994764
Kevin Durant,OKC,2016,20158622
Russell Westbrook,OKC,2016,16744218
Enes Freedom,OKC,2016,16400000
Serge Ibaka,OKC,2016,12350000
Dion Waiters,OKC,2016,5138430
Kevin Durant,OKC,2015,18995624
Russell Westbrook,OKC,2015,15719062
Serge Ibaka,OKC,2015,12350000
Enes Freedom,OKC,2015,5694674
Dion Waiters,OKC,2015,4062000
Kevin Durant,OKC,2014,17832627
Russell Westbrook,OKC,2014,14693906
Serge Ibaka,OKC,2014,12250000
Kendrick Perkins,OKC,2014,8477437
Thabo Sefolosha,OKC,2014,3900000
Kevin Durant,OKC,2013,16669630
Russell Westbrook,OKC,2013,13668750
Kevin Martin,OKC,2013,12439675
Kendrick Perkins,OKC,2013,7800531
Thabo Sefolosha,OKC,2013,3600000
Kevin Durant,OKC,2012,15506632
Kendrick Perkins,OKC,2012,7123626
Russell Westbrook,OKC,2012,5082416
James Harden,OKC,2012,4604760
Nazr Mohammed,OKC,2012,3750000
Nick Collison,OKC,2011,13250000
Nazr Mohammed,OKC,2011,6883800
Kevin Durant,OKC,2011,6053663
Kendrick Perkins,OKC,2011,4640208
James Harden,OKC,2011,4304520
Etan Thomas,OKC,2010,7350000
Nick Collison,OKC,2010,6250000
Nenad Krstić,OKC,2010,5400000
Kevin Durant,OKC,2010,4796880
James Harden,OKC,2010,4054160
Malik Rose,OKC,2009,7647500
Nick Collison,OKC,2009,6350000
Earl Watson,OKC,2009,6200000
Desmond Mason,OKC,2009,5300000
Joe Smith,OKC,2009,4795000
Chris Wilcox,SEA,2008,6500000
Luke Ridnour,SEA,2008,6500000
Donyell Marshall,SEA,2008,6016965
Earl Watson,SEA,2008,5800000
Nick Collison,SEA,2008,5750000
Ray Allen,SEA,2007,14611570
Rashard Lewis,SEA,2007,9350649
Danny Fortson,SEA,2007,6596990
Chris Wilcox,SEA,2007,6250000
Earl Watson,SEA,2007,5400000
Ray Allen,SEA,2006,13223140
Rashard Lewis,SEA,2006,8571429
Danny Fortson,SEA,2006,6207670
Vitaly Potapenko,SEA,2006,3320000
Vladimir Radmanović,SEA,2006,3166155
Ray Allen,SEA,2005,14625000
Rashard Lewis,SEA,2005,7792208
Vitaly Potapenko,SEA,2005,6191250
Danny Fortson,SEA,2005,5818136
Jerome James,SEA,2005,5455200
Ray Allen,SEA,2004,13500000
Rashard Lewis,SEA,2004,7012987
Vitaly Potapenko,SEA,2004,5715000
Calvin Booth,SEA,2004,5446800
Brent Barry,SEA,2004,5400000
Gary Payton,SEA,2003,12636117
Kenny Anderson,SEA,2003,9185000
Rashard Lewis,SEA,2003,6233766
Vitaly Potapenko,SEA,2003,5238750
Brent Barry,SEA,2003,5040000
Gary Payton,SEA,2002,12926493
Vin Baker,SEA,2002,11250000
Brent Barry,SEA,2002,4680000
Calvin Booth,SEA,2002,4539000
Rashard Lewis,SEA,2002,4413375
Patrick Ewing,SEA,2001,14000000
Gary Payton,SEA,2001,12200000
Vin Baker,SEA,2001,10130000
Brent Barry,SEA,2001,4320000
Rashard Lewis,SEA,2001,3920000
Gary Payton,SEA,2000,11020473
Vin Baker,SEA,2000,9000000
Horace Grant,SEA,2000,5952381
Brent Barry,SEA,2000,3960000
Greg Foster,SEA,2000,1603861
Otto Porter Jr.,ORL,2021,28489239
Gary Harris,ORL,2021,19160714
Terrence Ross,ORL,2021,13500000
Markelle Fultz,ORL,2021,12288697
Mo Bamba,ORL,2021,5969040
Nikola Vučević,ORL,2020,28000000
Aaron Gordon,ORL,2020,19863636
Evan Fournier,ORL,2020,17000000
Terrence Ross,ORL,2020,12500000
Markelle Fultz,ORL,2020,9745200
Aaron Gordon,ORL,2019,21590909
Evan Fournier,ORL,2019,17000000
Nikola Vučević,ORL,2019,12750000
Terrence Ross,ORL,2019,10500000
D.J. Augustin,ORL,2019,7250000
Evan Fournier,ORL,2018,17000000
Bismack Biyombo,ORL,2018,17000000
Nikola Vučević,ORL,2018,12250000
Terrence Ross,ORL,2018,10500000
D.J. Augustin,ORL,2018,7250000
Evan Fournier,ORL,2017,17000000
Bismack Biyombo,ORL,2017,17000000
Jeff Green,ORL,2017,15000000
Nikola Vučević,ORL,2017,11750000
Terrence Ross,ORL,2017,10000000
Nikola Vučević,ORL,2016,11250000
Brandon Jennings,ORL,2016,8344497
Ersan İlyasova,ORL,2016,7900000
Victor Oladipo,ORL,2016,5192520
C.J. Watson,ORL,2016,5000000
Channing Frye,ORL,2015,8175476
Victor Oladipo,ORL,2015,4978200
Ben Gordon,ORL,2015,4500000
Aaron Gordon,ORL,2015,3992040
Nikola Vučević,ORL,2015,2751260
Jameer Nelson,ORL,2014,8600000
Arron Afflalo,ORL,2014,7312500
Glen Davis,ORL,2014,6400000
Victor Oladipo,ORL,2014,4763760
Jason Maxiell,ORL,2014,2500000
Hedo Türkoğlu,ORL,2013,11815850
Jameer Nelson,ORL,2013,8600000
Arron Afflalo,ORL,2013,7750000
Beno Udrih,ORL,2013,7372000
Al Harrington,ORL,2013,6687400
Dwight Howard,ORL,2012,18091770
Hedo Türkoğlu,ORL,2012,11015850
Jameer Nelson,ORL,2012,7800000
J.J. Redick,ORL,2012,6750000
Glen Davis,ORL,2012,6300000
Gilbert Arenas,ORL,2011,17730694
Dwight Howard,ORL,2011,16647180
Jason Richardson,ORL,2011,14444444
Hedo Türkoğlu,ORL,2011,10215850
Jameer Nelson,ORL,2011,7800000
Rashard Lewis,ORL,2010,18876000
Vince Carter,ORL,2010,16300000
Dwight Howard,ORL,2010,15202590
Jameer Nelson,ORL,2010,6138888
Marcin Gortat,ORL,2010,5854000
Rashard Lewis,ORL,2009,16447871
Dwight Howard,ORL,2009,13758000
Jameer Nelson,ORL,2009,7700000
Hedo Türkoğlu,ORL,2009,6864200
Tony Battie,ORL,2009,5746000
Rashard Lewis,ORL,2008,14880000
Hedo Türkoğlu,ORL,2008,6373900
Dwight Howard,ORL,2008,6061274
Carlos Arroyo,ORL,2008,4100000
Pat Garrity,ORL,2008,3818750
Grant Hill,ORL,2007,16901500
Hedo Türkoğlu,ORL,2007,5883600
Tony Battie,ORL,2007,5746000
Darko Miličić,ORL,2007,5218622
Dwight Howard,ORL,2007,4806720
Grant Hill,ORL,2006,15694250
Steve Francis,ORL,2006,13700000
Kelvin Cato,ORL,2006,8640000
Hedo Türkoğlu,ORL,2006,5393300
Tony Battie,ORL,2006,5200000
Grant Hill,ORL,2005,14487000
Steve Francis,ORL,2005,12330000
Kelvin Cato,ORL,2005,7992000
Cuttino Mobley,ORL,2005,5884500
Hedo Türkoğlu,ORL,2005,4903000
Tracy McGrady,ORL,2004,13279750
Juwan Howard,ORL,2004,4917000
Drew Gooden,ORL,2004,3004560
Pat Garrity,ORL,2004,2643750
Andrew DeClercq,ORL,2004,2500000
Tracy McGrady,ORL,2003,12072500
Grant Hill,ORL,2003,12072500
Darrell Armstrong,ORL,2003,4010000
Andrew DeClercq,ORL,2003,3262500
Mike Miller,ORL,2003,2668080
Tracy McGrady,ORL,2002,10865250
Grant Hill,ORL,2002,10865250
Darrell Armstrong,ORL,2002,4005000
Jud Buechler,ORL,2002,3600000
Andrew DeClercq,ORL,2002,2900000
Tracy McGrady,ORL,2001,9660000
Grant Hill,ORL,2001,9660000
Bo Outlaw,ORL,2001,4500000
Darrell Armstrong,ORL,2001,3100000
Mike Miller,ORL,2001,2320080
Darrell Armstrong,ORL,2000,4125000
Derek Strong,ORL,2000,3159000
Ron Mercer,ORL,2000,2298840
Bo Outlaw,ORL,2000,2000000
Michael Doleac,ORL,2000,1357320
Tobias Harris,PHI,2021,34358850
Ben Simmons,PHI,2021,30559200
Joel Embiid,PHI,2021,29542010
Danny Green,PHI,2021,15365853
George Hill,PHI,2021,9590602
Tobias Harris,PHI,2020,32742000
Al Horford,PHI,2020,28000000
Joel Embiid,PHI,2020,27504630
Josh Richardson,PHI,2020,10116576
Ben Simmons,PHI,2020,8113930
Joel Embiid,PHI,2019,25467250
Jimmy Butler,PHI,2019,20445779
Tobias Harris,PHI,2019,14800000
J.J. Redick,PHI,2019,12250000
Boban Marjanović,PHI,2019,7000000
J.J. Redick,PHI,2018,23000000
Robert Covington,PHI,2018,16698103
Amir Johnson,PHI,2018,11000000
Jerryd Bayless,PHI,2018,9000000
Trevor Booker,PHI,2018,8725000
Jerryd Bayless,PHI,2017,9424084
Gerald Henderson,PHI,2017,9000000
Tiago Splitter,PHI,2017,8550000
Sergio Rodríguez,PHI,2017,8000000
Joel Embiid,PHI,2017,4826160
Carl Landry,PHI,2016,6500000
Jahlil Okafor,PHI,2016,4582680
Nerlens Noel,PHI,2016,3457800
Nik Stauskas,PHI,2016,2869440
Sonny Weems,PHI,2016,2800000
JaVale McGee,PHI,2015,11250000
Jason Richardson,PHI,2015,6601125
Luc Mbah a Moute,PHI,2015,4382576
Thomas Robinson,PHI,2015,3678360
Nerlens Noel,PHI,2015,3315120
Thaddeus Young,PHI,2014,8600000
Evan Turner,PHI,2014,6679867
Spencer Hawes,PHI,2014,6500000
Lavoy Allen,PHI,2014,3060000
Michael Carter-Williams,PHI,2014,2200920
Spencer Hawes,PHI,2013,8500000
Thaddeus Young,PHI,2013,8289130
Jason Richardson,PHI,2013,5799625
Nick Young,PHI,2013,5600000
Evan Turner,PHI,2013,5293080
Elton Brand,PHI,2012,17059727
Andre Iguodala,PHI,2012,13531750
Thaddeus Young,PHI,2012,7478261
Andrés Nocioni,PHI,2012,6650000
Lou Williams,PHI,2012,5176000
Elton Brand,PHI,2011,15959099
Andre Iguodala,PHI,2011,12345250
Andrés Nocioni,PHI,2011,6850000
Jason Kapono,PHI,2011,6641440
Lou Williams,PHI,2011,5000000
Elton Brand,PHI,2010,14858471
Andre Iguodala,PHI,2010,12200000
Samuel Dalembert,PHI,2010,12025694
Jason Kapono,PHI,2010,6212960
Lou Williams,PHI,2010,4972500
Elton Brand,PHI,2009,13757844
Andre Iguodala,PHI,2009,11300000
Samuel Dalembert,PHI,2009,11238564
Andre Miller,PHI,2009,10333334
Reggie Evans,PHI,2009,4640000
Samuel Dalembert,PHI,2008,10250000
Andre Miller,PHI,2008,9366666
Reggie Evans,PHI,2008,4320000
Gordan Giriček,PHI,2008,4000000
Kevin Ollie,PHI,2008,3441900
Chris Webber,PHI,2007,17600000
Samuel Dalembert,PHI,2007,9464307
Andre Miller,PHI,2007,8733333
Joe Smith,PHI,2007,6807000
Kyle Korver,PHI,2007,4018182
Chris Webber,PHI,2006,19125000
Allen Iverson,PHI,2006,16453125
Samuel Dalembert,PHI,2006,8470000
Kyle Korver,PHI,2006,3630363
Kevin Ollie,PHI,2006,2950200
Allen Iverson,PHI,2005,14625000
Kenny Thomas,PHI,2005,6000000
Aaron McKie,PHI,2005,5500000
Corliss Williamson,PHI,2005,5500000
Brian Skinner,PHI,2005,4500000
Allen Iverson,PHI,2004,13500000
Glenn Robinson,PHI,2004,10730000
Kenny Thomas,PHI,2004,5500000
Aaron McKie,PHI,2004,5000000
Eric Snow,PHI,2004,4500000
Allen Iverson,PHI,2003,12375000
Keith Van Horn,PHI,2003,12072500
Derrick Coleman,PHI,2003,9380000
Todd MacCulloch,PHI,2003,4991800
Aaron McKie,PHI,2003,4500000
Dikembe Mutombo,PHI,2002,14315790
Allen Iverson,PHI,2002,11250000
Derrick Coleman,PHI,2002,8710000
Matt Geiger,PHI,2002,8142160
Aaron McKie,PHI,2002,4000000
Allen Iverson,PHI,2001,10130000
Theo Ratliff,PHI,2001,7800000
Matt Geiger,PHI,2001,7515840
Tyrone Hill,PHI,2001,7300000
Toni Kukoč,PHI,2001,6000000
Allen Iverson,PHI,2000,9000000
Theo Ratliff,PHI,2000,7031250
Matt Geiger,PHI,2000,6889520
Tyrone Hill,PHI,2000,6422400
Toni Kukoč,PHI,2000,4500000
Chris Paul,PHO,2021,41358814
Devin Booker,PHO,2021,29467800
Deandre Ayton,PHO,2021,10018200
Jae Crowder,PHO,2021,9258000
Dario Šarić,PHO,2021,9250000
Devin Booker,PHO,2020,27285000
Tyler Johnson,PHO,2020,19245370
Ricky Rubio,PHO,2020,16200000
Kelly Oubre Jr.,PHO,2020,15625000
Deandre Ayton,PHO,2020,9562920
Tyler Johnson,PHO,2019,19245370
T.J. Warren,PHO,2019,11750000
Tyson Chandler,PHO,2019,11475133
Deandre Ayton,PHO,2019,8165160
Josh Jackson,PHO,2019,6041520
Greg Monroe,PHO,2018,16384175
Tyson Chandler,PHO,2018,13000000
Jared Dudley,PHO,2018,10000000
Alan Williams,PHO,2018,6000000
Josh Jackson,PHO,2018,5090040
Eric Bledsoe,PHO,2017,14000000
Brandon Knight,PHO,2017,12606250
Tyson Chandler,PHO,2017,12415000
Jared Dudley,PHO,2017,10470000
Alex Len,PHO,2017,4823621
Eric Bledsoe,PHO,2016,13086957
Tyson Chandler,PHO,2016,13000000
Brandon Knight,PHO,2016,12000000
Mirza Teletović,PHO,2016,5500000
P.J. Tucker,PHO,2016,5500000
Eric Bledsoe,PHO,2015,12173913
Marcus Thornton,PHO,2015,8575000
P.J. Tucker,PHO,2015,5700000
Brandan Wright,PHO,2015,5000000
Alex Len,PHO,2015,3649920
Goran Dragić,PHO,2014,7500000
Channing Frye,PHO,2014,6400000
Gerald Green,PHO,2014,3500000
Alex Len,PHO,2014,3492720
Eric Bledsoe,PHO,2014,2626473
Goran Dragić,PHO,2013,7500000
Marcin Gortat,PHO,2013,7258960
Michael Beasley,PHO,2013,5750000
Wesley Johnson,PHO,2013,4285560
Jared Dudley,PHO,2013,4250000
Steve Nash,PHO,2012,11689062
Marcin Gortat,PHO,2012,6790640
Grant Hill,PHO,2012,6500000
Josh Childress,PHO,2012,6000000
Channing Frye,PHO,2012,5600000
Vince Carter,PHO,2011,17300000
Steve Nash,PHO,2011,10310938
Josh Childress,PHO,2011,6500000
Marcin Gortat,PHO,2011,6322320
Mickaël Piétrus,PHO,2011,5300000
Amar'e Stoudemire,PHO,2010,16378325
Jason Richardson,PHO,2010,13333333
Steve Nash,PHO,2010,13125000
Leandro Barbosa,PHO,2010,6600000
Grant Hill,PHO,2010,3000000
Shaquille O'Neal,PHO,2009,21000000
Amar'e Stoudemire,PHO,2009,15070550
Steve Nash,PHO,2009,12250000
Jason Richardson,PHO,2009,12222221
Leandro Barbosa,PHO,2009,6100000
Shaquille O'Neal,PHO,2008,20000000
Amar'e Stoudemire,PHO,2008,13762775
Steve Nash,PHO,2008,11375000
Boris Diaw,PHO,2008,9000000
Leandro Barbosa,PHO,2008,5600000
Shawn Marion,PHO,2007,15070000
Amar'e Stoudemire,PHO,2007,12455000
Steve Nash,PHO,2007,10500000
Kurt Thomas,PHO,2007,7821482
Raja Bell,PHO,2007,4500000
Shawn Marion,PHO,2006,13700000
Steve Nash,PHO,2006,9625000
Kurt Thomas,PHO,2006,6620062
Raja Bell,PHO,2006,4250000
Jim Jackson,PHO,2006,2640000
Shawn Marion,PHO,2005,12330000
Steve Nash,PHO,2005,8750000
Quentin Richardson,PHO,2005,5800000
Joe Johnson,PHO,2005,2358954
Amar'e Stoudemire,PHO,2005,2032200
Stephon Marbury,PHO,2004,13500000
Anfernee Hardaway,PHO,2004,13500000
Tom Gugliotta,PHO,2004,11670000
Shawn Marion,PHO,2004,10960000
Jahidi White,PHO,2004,5676091
Stephon Marbury,PHO,2003,12375000
Anfernee Hardaway,PHO,2003,12375000
Tom Gugliotta,PHO,2003,10892000
Bo Outlaw,PHO,2003,6585000
Randy Brown,PHO,2003,2700000
Stephon Marbury,PHO,2002,11250000
Anfernee Hardaway,PHO,2002,11250000
Tom Gugliotta,PHO,2002,10114000
Bo Outlaw,PHO,2002,6000000
John Wallace,PHO,2002,2630000
Anfernee Hardaway,PHO,2001,10130000
Tom Gugliotta,PHO,2001,9360000
Jason Kidd,PHO,2001,7680000
Clifford Robinson,PHO,2001,6890000
Chris Dudley,PHO,2001,6200000
Anfernee Hardaway,PHO,2000,9000000
Tom Gugliotta,PHO,2000,8558535
Jason Kidd,PHO,2000,6858335
Clifford Robinson,PHO,2000,6125000
Luc Longley,PHO,2000,5175000
Damian Lillard,POR,2021,31626953
CJ McCollum,POR,2021,29354152
Jusuf Nurkić,POR,2021,12888889
Robert Covington,POR,2021,12138345
Norman Powell,POR,2021,10865952
Damian Lillard,POR,2020,29802321
CJ McCollum,POR,2020,27556959
Hassan Whiteside,POR,2020,27093018
Trevor Ariza,POR,2020,12200000
Jusuf Nurkić,POR,2020,12000000
Damian Lillard,POR,2019,27977689
CJ McCollum,POR,2019,25759766
Evan Turner,POR,2019,17868853
Jusuf Nurkić,POR,2019,11111111
Maurice Harkless,POR,2019,10837079
Damian Lillard,POR,2018,26153057
CJ McCollum,POR,2018,23962573
Evan Turner,POR,2018,17131148
Maurice Harkless,POR,2018,10162922
Meyers Leonard,POR,2018,9904495
Damian Lillard,POR,2017,24328425
Allen Crabbe,POR,2017,18500000
Evan Turner,POR,2017,16393443
Meyers Leonard,POR,2017,9213484
Maurice Harkless,POR,2017,8988764
Al-Farouq Aminu,POR,2016,7500000
Ed Davis,POR,2016,7000000
Gerald Henderson,POR,2016,6000000
Chris Kaman,POR,2016,5000000
Damian Lillard,POR,2016,4236287
LaMarcus Aldridge,POR,2015,16006000
Nicolas Batum,POR,2015,11765500
Arron Afflalo,POR,2015,7750000
Wesley Matthews,POR,2015,7245640
Robin Lopez,POR,2015,6124728
LaMarcus Aldridge,POR,2014,14128000
Nicolas Batum,POR,2014,11295250
Wesley Matthews,POR,2014,6875480
Robin Lopez,POR,2014,5904261
Thomas Robinson,POR,2014,3526440
LaMarcus Aldridge,POR,2013,13500000
Nicolas Batum,POR,2013,10850000
Wesley Matthews,POR,2013,6505320
J.J. Hickson,POR,2013,4000000
Damian Lillard,POR,2013,3065040
LaMarcus Aldridge,POR,2012,12372000
Marcus Camby,POR,2012,11227250
Gerald Wallace,POR,2012,9500000
Raymond Felton,POR,2012,7560000
Wesley Matthews,POR,2012,6135160
Brandon Roy,POR,2011,13520500
Marcus Camby,POR,2011,11749832
LaMarcus Aldridge,POR,2011,11244000
Gerald Wallace,POR,2011,10500000
Andre Miller,POR,2011,7269264
Marcus Camby,POR,2010,7650000
Joel Przybilla,POR,2010,6857725
Andre Miller,POR,2010,6730800
LaMarcus Aldridge,POR,2010,5844827
Greg Oden,POR,2010,5361240
Joel Przybilla,POR,2009,6310150
Greg Oden,POR,2009,5011680
LaMarcus Aldridge,POR,2009,4631400
Steve Blake,POR,2009,4250000
Travis Outlaw,POR,2009,4000000
Raef LaFrentz,POR,2008,12440787
Joel Przybilla,POR,2008,5762575
LaMarcus Aldridge,POR,2008,4329360
Steve Blake,POR,2008,4250000
Travis Outlaw,POR,2008,4000000
Zach Randolph,POR,2007,12000000
Raef LaFrentz,POR,2007,11532037
Jamaal Magloire,POR,2007,8433334
Joel Przybilla,POR,2007,5215000
LaMarcus Aldridge,POR,2007,4027320
Theo Ratliff,POR,2006,11666666
Zach Randolph,POR,2006,10666667
Darius Miles,POR,2006,7250000
Ruben Patterson,POR,2006,6353200
Martell Webster,POR,2006,2586120
Shareef Abdur-Rahim,POR,2005,14625000
Damon Stoudamire,POR,2005,12500000
Nick Van Exel,POR,2005,11933252
Theo Ratliff,POR,2005,10937500
Derek Anderson,POR,2005,8443500
Rasheed Wallace,POR,2004,17000000
Damon Stoudamire,POR,2004,12375000
Dale Davis,POR,2004,9061875
Derek Anderson,POR,2004,7794000
Wesley Person,POR,2004,7700000
Scottie Pippen,POR,2003,19727524
Rasheed Wallace,POR,2003,16200000
Damon Stoudamire,POR,2003,12375000
Dale Davis,POR,2003,8055000
Derek Anderson,POR,2003,7144500
Scottie Pippen,POR,2002,18083564
Rasheed Wallace,POR,2002,14400000
Shawn Kemp,POR,2002,12660000
Damon Stoudamire,POR,2002,12375000
Dale Davis,POR,2002,7010000
Scottie Pippen,POR,2001,13750000
Rasheed Wallace,POR,2001,12600000
Shawn Kemp,POR,2001,11720000
Damon Stoudamire,POR,2001,11250000
Arvydas Sabonis,POR,2001,11250000
Scottie Pippen,POR,2000,14795642
Rasheed Wallace,POR,2000,10800000
Damon Stoudamire,POR,2000,10125000
Arvydas Sabonis,POR,2000,9818481
Brian Grant,POR,2000,7680862
Buddy Hield,SAC,2021,24701834
Harrison Barnes,SAC,2021,22215909
Delon Wright,SAC,2021,9000000
Marvin Bagley III,SAC,2021,8963640
De'Aaron Fox,SAC,2021,8099627
Harrison Barnes,SAC,2020,24147727
Kent Bazemore,SAC,2020,19269662
Cory Joseph,SAC,2020,12000000
Marvin Bagley III,SAC,2020,8556120
Bogdan Bogdanović,SAC,2020,8529386
Harrison Barnes,SAC,2019,24107258
Alec Burks,SAC,2019,11536515
Bogdan Bogdanović,SAC,2019,9000000
Kosta Koufos,SAC,2019,8739500
Marvin Bagley III,SAC,2019,7305600
Zach Randolph,SAC,2018,12307692
Bogdan Bogdanović,SAC,2018,9470614
Kosta Koufos,SAC,2018,8393000
Garrett Temple,SAC,2018,8000000
Vince Carter,SAC,2018,8000000
Rudy Gay,SAC,2017,13333333
Arron Afflalo,SAC,2017,12500000
Tyreke Evans,SAC,2017,10661286
Kosta Koufos,SAC,2017,8046500
Garrett Temple,SAC,2017,8000000
DeMarcus Cousins,SAC,2016,14728844
Rudy Gay,SAC,2016,12403101
Rajon Rondo,SAC,2016,9500000
Kosta Koufos,SAC,2016,7500000
Marco Belinelli,SAC,2016,6333333
Rudy Gay,SAC,2015,19317325
DeMarcus Cousins,SAC,2015,13701250
Carl Landry,SAC,2015,6500000
Derrick Williams,SAC,2015,6331404
Jason Thompson,SAC,2015,6037500
Rudy Gay,SAC,2014,17888931
Marcus Thornton,SAC,2014,8050000
John Salmons,SAC,2014,7583000
Carl Landry,SAC,2014,6500000
Chuck Hayes,SAC,2014,5722500
John Salmons,SAC,2013,8083000
Marcus Thornton,SAC,2013,7525000
Chuck Hayes,SAC,2013,5486250
Tyreke Evans,SAC,2013,5251825
Jason Thompson,SAC,2013,5250000
John Salmons,SAC,2012,8500000
Marcus Thornton,SAC,2012,7000000
Francisco García,SAC,2012,5800000
Chuck Hayes,SAC,2012,5250000
Tyreke Evans,SAC,2012,4151640
Samuel Dalembert,SAC,2011,13428129
Beno Udrih,SAC,2011,6478600
Francisco García,SAC,2011,5500000
Tyreke Evans,SAC,2011,3880920
DeMarcus Cousins,SAC,2011,3374640
Kenny Thomas,SAC,2010,8775000
Andrés Nocioni,SAC,2010,7500000
Beno Udrih,SAC,2010,6031800
Francisco García,SAC,2010,5800000
Tyreke Evans,SAC,2010,3610080
Kevin Martin,SAC,2009,8760335
Kenny Thomas,SAC,2009,8562500
Andrés Nocioni,SAC,2009,8000000
Drew Gooden,SAC,2009,7151183
Bobby Jackson,SAC,2009,6487888
Brad Miller,SAC,2008,10500000
Kenny Thomas,SAC,2008,7875000
Metta World Peace,SAC,2008,7400000
Shareef Abdur-Rahim,SAC,2008,5800000
Mikki Moore,SAC,2008,5356000
Mike Bibby,SAC,2007,12500000
Brad Miller,SAC,2007,9625000
Metta World Peace,SAC,2007,7526316
Kenny Thomas,SAC,2007,7187500
Corliss Williamson,SAC,2007,6500000
Mike Bibby,SAC,2006,11500000
Brad Miller,SAC,2006,8750000
Bonzi Wells,SAC,2006,8000000
Peja Stojaković,SAC,2006,7500000
Kenny Thomas,SAC,2006,6500000
Chris Webber,SAC,2005,17531250
Mike Bibby,SAC,2005,10500000
Brad Miller,SAC,2005,7875000
Doug Christie,SAC,2005,7550000
Peja Stojaković,SAC,2005,6875000
Chris Webber,SAC,2004,15937500
Vlade Divac,SAC,2004,12051510
Mike Bibby,SAC,2004,9500000
Brad Miller,SAC,2004,7000000
